feature	CTRL_SNG-101_CD14 Mono	CTRL_SNG-101_CD4 Naive T	CTRL_SNG-101_CD4 Memory T	CTRL_SNG-101_CD16 Mono	CTRL_SNG-101_B	CTRL_SNG-101_CD8 T	CTRL_SNG-101_T activated	CTRL_SNG-101_NK	CTRL_SNG-101_DC	CTRL_SNG-101_B Activated	CTRL_SNG-101_Mk	CTRL_SNG-101_pDC	CTRL_SNG-101_Eryth	CTRL_SNG-1015_CD14 Mono	CTRL_SNG-1015_CD4 Naive T	CTRL_SNG-1015_CD4 Memory T	CTRL_SNG-1015_CD16 Mono	CTRL_SNG-1015_B	CTRL_SNG-1015_CD8 T	CTRL_SNG-1015_T activated	CTRL_SNG-1015_NK	CTRL_SNG-1015_DC	CTRL_SNG-1015_B Activated	CTRL_SNG-1015_Mk	CTRL_SNG-1015_pDC	CTRL_SNG-1015_Eryth	CTRL_SNG-1016_CD14 Mono	CTRL_SNG-1016_CD4 Naive T	CTRL_SNG-1016_CD4 Memory T	CTRL_SNG-1016_CD16 Mono	CTRL_SNG-1016_B	CTRL_SNG-1016_CD8 T	CTRL_SNG-1016_T activated	CTRL_SNG-1016_NK	CTRL_SNG-1016_DC	CTRL_SNG-1016_B Activated	CTRL_SNG-1016_Mk	CTRL_SNG-1016_pDC	CTRL_SNG-1016_Eryth	CTRL_SNG-1039_CD14 Mono	CTRL_SNG-1039_CD4 Naive T	CTRL_SNG-1039_CD4 Memory T	CTRL_SNG-1039_CD16 Mono	CTRL_SNG-1039_B	CTRL_SNG-1039_CD8 T	CTRL_SNG-1039_T activated	CTRL_SNG-1039_NK	CTRL_SNG-1039_DC	CTRL_SNG-1039_B Activated	CTRL_SNG-1039_Mk	CTRL_SNG-1039_pDC	CTRL_SNG-107_CD14 Mono	CTRL_SNG-107_CD4 Naive T	CTRL_SNG-107_CD4 Memory T	CTRL_SNG-107_CD16 Mono	CTRL_SNG-107_B	CTRL_SNG-107_CD8 T	CTRL_SNG-107_T activated	CTRL_SNG-107_NK	CTRL_SNG-107_DC	CTRL_SNG-107_B Activated	CTRL_SNG-107_Mk	CTRL_SNG-107_pDC	CTRL_SNG-107_Eryth	CTRL_SNG-1244_CD14 Mono	CTRL_SNG-1244_CD4 Naive T	CTRL_SNG-1244_CD4 Memory T	CTRL_SNG-1244_CD16 Mono	CTRL_SNG-1244_B	CTRL_SNG-1244_CD8 T	CTRL_SNG-1244_T activated	CTRL_SNG-1244_NK	CTRL_SNG-1244_DC	CTRL_SNG-1244_B Activated	CTRL_SNG-1244_Mk	CTRL_SNG-1244_pDC	CTRL_SNG-1244_Eryth	CTRL_SNG-1256_CD14 Mono	CTRL_SNG-1256_CD4 Naive T	CTRL_SNG-1256_CD4 Memory T	CTRL_SNG-1256_CD16 Mono	CTRL_SNG-1256_B	CTRL_SNG-1256_CD8 T	CTRL_SNG-1256_T activated	CTRL_SNG-1256_NK	CTRL_SNG-1256_DC	CTRL_SNG-1256_B Activated	CTRL_SNG-1256_Mk	CTRL_SNG-1256_pDC	CTRL_SNG-1256_Eryth	CTRL_SNG-1488_CD14 Mono	CTRL_SNG-1488_CD4 Naive T	CTRL_SNG-1488_CD4 Memory T	CTRL_SNG-1488_CD16 Mono	CTRL_SNG-1488_B	CTRL_SNG-1488_CD8 T	CTRL_SNG-1488_T activated	CTRL_SNG-1488_NK	CTRL_SNG-1488_DC	CTRL_SNG-1488_B Activated	CTRL_SNG-1488_Mk	CTRL_SNG-1488_pDC	CTRL_SNG-1488_Eryth	STIM_SNG-101_CD14 Mono	STIM_SNG-101_CD4 Naive T	STIM_SNG-101_CD4 Memory T	STIM_SNG-101_CD16 Mono	STIM_SNG-101_B	STIM_SNG-101_CD8 T	STIM_SNG-101_T activated	STIM_SNG-101_NK	STIM_SNG-101_DC	STIM_SNG-101_B Activated	STIM_SNG-101_Mk	STIM_SNG-101_pDC	STIM_SNG-101_Eryth	STIM_SNG-1015_CD14 Mono	STIM_SNG-1015_CD4 Naive T	STIM_SNG-1015_CD4 Memory T	STIM_SNG-1015_CD16 Mono	STIM_SNG-1015_B	STIM_SNG-1015_CD8 T	STIM_SNG-1015_T activated	STIM_SNG-1015_NK	STIM_SNG-1015_DC	STIM_SNG-1015_B Activated	STIM_SNG-1015_Mk	STIM_SNG-1015_pDC	STIM_SNG-1015_Eryth	STIM_SNG-1016_CD14 Mono	STIM_SNG-1016_CD4 Naive T	STIM_SNG-1016_CD4 Memory T	STIM_SNG-1016_CD16 Mono	STIM_SNG-1016_B	STIM_SNG-1016_CD8 T	STIM_SNG-1016_T activated	STIM_SNG-1016_NK	STIM_SNG-1016_DC	STIM_SNG-1016_B Activated	STIM_SNG-1016_Mk	STIM_SNG-1016_pDC	STIM_SNG-1016_Eryth	STIM_SNG-1039_CD14 Mono	STIM_SNG-1039_CD4 Naive T	STIM_SNG-1039_CD4 Memory T	STIM_SNG-1039_CD16 Mono	STIM_SNG-1039_B	STIM_SNG-1039_CD8 T	STIM_SNG-1039_T activated	STIM_SNG-1039_NK	STIM_SNG-1039_DC	STIM_SNG-1039_B Activated	STIM_SNG-1039_Mk	STIM_SNG-1039_pDC	STIM_SNG-1039_Eryth	STIM_SNG-107_CD14 Mono	STIM_SNG-107_CD4 Naive T	STIM_SNG-107_CD4 Memory T	STIM_SNG-107_CD16 Mono	STIM_SNG-107_B	STIM_SNG-107_CD8 T	STIM_SNG-107_T activated	STIM_SNG-107_NK	STIM_SNG-107_DC	STIM_SNG-107_B Activated	STIM_SNG-107_Mk	STIM_SNG-107_pDC	STIM_SNG-1244_CD14 Mono	STIM_SNG-1244_CD4 Naive T	STIM_SNG-1244_CD4 Memory T	STIM_SNG-1244_CD16 Mono	STIM_SNG-1244_B	STIM_SNG-1244_CD8 T	STIM_SNG-1244_T activated	STIM_SNG-1244_NK	STIM_SNG-1244_DC	STIM_SNG-1244_B Activated	STIM_SNG-1244_Mk	STIM_SNG-1244_pDC	STIM_SNG-1244_Eryth	STIM_SNG-1256_CD14 Mono	STIM_SNG-1256_CD4 Naive T	STIM_SNG-1256_CD4 Memory T	STIM_SNG-1256_CD16 Mono	STIM_SNG-1256_B	STIM_SNG-1256_CD8 T	STIM_SNG-1256_T activated	STIM_SNG-1256_NK	STIM_SNG-1256_DC	STIM_SNG-1256_B Activated	STIM_SNG-1256_Mk	STIM_SNG-1256_pDC	STIM_SNG-1256_Eryth	STIM_SNG-1488_CD14 Mono	STIM_SNG-1488_CD4 Naive T	STIM_SNG-1488_CD4 Memory T	STIM_SNG-1488_CD16 Mono	STIM_SNG-1488_B	STIM_SNG-1488_CD8 T	STIM_SNG-1488_T activated	STIM_SNG-1488_NK	STIM_SNG-1488_DC	STIM_SNG-1488_B Activated	STIM_SNG-1488_Mk	STIM_SNG-1488_pDC	STIM_SNG-1488_Eryth
C2orf74	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
AHSA2	0	0	1	2	0	0	0	0	1	0	0	0	0	2	0	0	2	1	2	3	2	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	2	0	0	1	0	0	0	0	0	0	5	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	3	0	1	0	0	0	0	2	1	1	3	1	0	1	0	1	0	0	2	0	3	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	2	1	0	0	0	0	0	3	0	2	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	3	2	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	2	2	0	0	0	0	0	2	1	2	1	1	0	3	0	0	1	0	0	0
USP34	9	2	1	2	2	0	2	2	1	0	1	0	0	34	1	8	4	3	2	5	0	6	6	1	2	0	20	2	1	2	2	1	3	0	2	0	0	0	0	5	1	0	3	1	0	0	0	0	0	0	0	11	0	2	0	0	0	0	1	0	0	0	1	0	13	7	21	3	2	2	0	4	9	1	0	2	0	19	12	1	2	4	0	2	2	2	3	1	0	0	10	5	7	6	5	1	2	2	2	1	1	1	0	9	0	4	1	4	0	4	1	2	1	0	0	0	16	3	7	4	6	4	2	5	4	0	0	0	1	6	5	0	3	1	3	2	1	1	0	1	0	0	7	1	2	1	1	0	0	1	0	0	1	1	0	4	1	0	0	2	0	1	2	1	1	0	0	6	12	2	1	0	2	1	1	1	1	0	1	0	8	8	6	2	1	0	1	0	0	0	0	0	0	10	24	3	2	9	0	9	2	0	3	0	1	0
RP11-355B11.2	1	1	0	0	0	0	1	0	1	0	0	0	0	6	1	1	0	1	0	0	3	0	1	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	1	0	0	0	0	1	4	1	0	0	0	0	0	1	0	0	0	0	2	4	3	0	0	0	1	0	0	0	0	0	0	1	0	2	2	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	4	1	1	1	0	1	0	0	0	0	0	0
XPO1	8	0	3	3	0	0	6	0	4	1	1	0	0	40	1	12	20	10	3	3	9	4	7	1	2	0	15	3	0	10	1	8	2	0	1	3	1	1	0	4	1	4	1	1	0	1	1	1	0	0	0	12	1	1	2	0	0	1	0	0	1	0	0	0	29	5	6	5	1	0	2	2	13	1	1	0	0	36	12	11	1	2	2	5	1	7	1	2	1	0	13	9	4	3	4	3	5	5	7	4	0	0	1	29	0	6	3	3	3	2	2	11	1	0	3	0	51	2	7	9	10	3	8	4	11	5	1	1	0	29	1	3	3	2	7	2	0	5	0	0	2	0	18	1	5	4	2	1	2	0	0	0	0	3	1	14	0	4	5	0	0	0	1	5	0	1	1	35	13	8	1	3	2	2	0	8	4	3	1	0	40	14	2	12	2	0	3	2	11	4	0	2	0	24	7	5	4	6	2	5	2	9	4	2	5	0
FAM161A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	1	1	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	1	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0
CCT4	56	8	24	16	10	9	23	4	32	10	3	4	2	189	25	61	59	36	30	79	27	27	73	7	7	1	73	28	11	28	22	15	49	1	15	12	1	2	2	25	12	12	4	6	3	17	2	7	3	5	1	44	8	10	6	1	2	5	1	1	3	2	1	0	131	75	40	16	16	18	37	13	25	26	7	0	3	103	102	34	16	19	8	92	16	31	38	0	10	3	47	62	41	16	17	16	35	9	38	52	6	14	2	53	12	23	20	19	10	44	10	28	29	3	13	0	98	36	33	47	47	30	45	26	15	62	7	4	2	42	26	10	28	19	30	30	10	10	12	3	8	0	30	32	20	2	8	8	16	1	5	10	3	12	1	27	4	12	2	8	3	20	4	12	22	0	1	52	164	37	5	18	14	46	8	10	28	5	10	1	69	129	23	16	31	10	61	15	29	41	8	16	2	46	110	39	21	30	11	74	14	34	65	8	19	1
COMMD1	30	3	6	8	1	2	5	1	12	4	2	2	0	43	6	21	20	14	6	7	16	10	8	2	4	0	30	5	5	7	4	8	1	0	6	1	0	2	1	9	4	13	2	2	1	1	1	1	2	0	1	8	1	3	2	3	0	0	1	3	2	0	2	0	25	11	5	5	3	0	4	5	8	7	2	3	0	24	23	7	7	7	2	2	4	6	4	2	4	0	9	12	8	4	6	6	5	6	4	7	1	2	1	28	2	6	10	7	6	1	3	5	5	0	4	0	35	7	9	15	16	7	4	15	8	12	4	2	0	15	4	3	8	4	12	1	2	1	1	0	5	0	16	2	8	6	4	0	2	3	1	0	1	8	0	9	2	4	2	3	0	0	1	2	2	0	0	17	32	10	3	2	1	2	12	6	2	1	3	0	22	35	8	12	11	5	2	4	3	5	0	10	0	7	32	10	6	13	10	5	6	4	8	3	7	0
B3GNT2	8	0	1	4	1	3	1	1	1	0	0	1	0	14	1	4	5	4	7	5	8	3	0	0	1	0	3	1	1	4	0	1	2	1	1	0	0	0	0	4	1	1	3	0	0	1	1	0	0	1	0	5	1	1	0	1	0	0	1	1	0	0	0	0	11	7	5	2	0	0	2	7	0	3	0	2	0	3	14	3	3	2	3	8	5	4	0	2	1	2	2	3	3	1	4	4	6	1	1	2	0	1	0	19	1	2	3	8	2	7	1	12	2	0	3	0	56	3	5	8	19	13	8	7	13	15	1	1	0	17	2	0	2	9	3	7	0	2	0	0	4	1	27	2	3	0	7	0	6	3	2	1	0	11	0	21	3	4	0	4	1	2	1	7	4	0	1	13	13	2	0	7	1	8	0	17	3	2	1	1	44	19	9	3	16	3	10	5	7	6	4	9	1	23	15	8	4	14	3	23	8	12	11	2	8	0
EHBP1	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	1	2	1	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	4	2	0	0	1	0	0	1	1	0	0	0	0	2	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	1	0	0	2	0	4	10	1	0	0	0	1	0	1	2	1	0	0	0	3	1	2	2	1	1	0	0	1	1	1	0
AC009501.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
WDPCP	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
MDH1	45	6	25	22	10	17	11	4	14	3	1	5	1	152	31	76	43	44	41	31	31	18	29	7	8	0	47	28	15	17	21	22	20	4	13	9	1	4	0	14	14	14	2	3	6	8	1	5	1	2	1	31	5	10	5	6	0	2	4	7	3	1	0	0	70	79	48	16	8	18	12	8	29	15	3	7	1	68	112	45	18	22	15	33	20	34	15	2	10	1	26	55	51	17	32	14	21	10	18	23	9	8	1	23	11	29	17	16	16	6	13	8	9	4	5	0	68	29	51	13	34	43	11	36	11	16	7	2	1	21	15	16	9	14	42	17	7	5	4	2	8	0	15	22	24	4	16	4	5	3	4	3	2	2	1	14	4	12	3	9	2	5	1	10	10	2	0	13	124	43	3	24	12	14	13	14	6	5	6	3	40	152	34	12	17	17	13	22	8	9	5	13	2	20	147	51	9	37	15	29	12	11	19	7	14	1
UGP2	34	2	18	24	9	4	8	3	12	2	4	4	0	114	25	65	35	29	17	27	15	8	3	7	5	1	40	8	8	37	9	16	10	0	6	5	1	0	1	12	6	14	1	4	1	7	6	1	0	2	1	34	5	10	8	3	0	0	2	8	1	0	1	0	61	65	36	10	7	3	7	11	13	8	4	4	0	82	96	29	10	15	13	31	9	8	1	4	2	2	29	43	43	20	18	5	17	5	13	6	4	4	1	84	11	27	21	4	14	10	4	15	4	2	7	0	86	28	39	20	32	23	16	29	14	9	5	1	0	47	26	17	17	8	27	14	7	6	0	3	0	0	22	14	32	2	2	6	8	2	6	0	1	2	1	25	2	13	2	2	3	7	3	5	2	2	1	30	79	48	4	7	7	9	9	12	2	3	5	1	59	78	40	13	12	15	24	10	13	3	4	4	1	47	115	47	20	18	8	34	3	14	3	8	3	2
VPS54	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
PELI1	3	1	1	3	1	1	4	0	7	0	1	0	0	19	2	2	16	3	2	8	0	5	4	1	0	0	9	1	0	10	0	2	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	5	1	0	0	0	0	3	0	1	0	0	0	0	10	6	4	8	0	1	3	3	5	1	0	1	0	12	5	3	10	0	0	9	0	4	3	0	0	0	3	6	0	4	2	2	6	1	9	0	2	1	0	17	0	1	20	1	2	2	0	1	0	0	0	0	41	2	5	33	6	3	6	0	2	2	2	0	0	19	4	1	39	1	2	6	0	0	0	0	0	0	18	0	7	3	3	1	1	0	0	0	2	1	0	15	0	0	9	1	0	2	0	2	0	0	0	23	9	3	6	1	0	3	1	2	3	1	0	0	29	8	1	25	6	0	9	2	1	1	0	0	1	19	14	5	34	4	0	20	0	5	2	2	1	0
AC074289.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	3	1	4	0	0	1	0	0	0	0	0	0
LGALSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RP11-568N6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	1	0	0	0	0	0	0
AFTPH	13	1	2	6	2	2	4	0	2	2	0	0	0	45	0	11	9	7	3	4	5	2	6	1	3	0	18	3	1	6	0	4	5	2	4	1	0	1	0	5	2	0	3	3	1	0	1	0	1	1	0	17	0	2	1	2	0	0	0	2	1	1	0	0	24	10	1	3	0	1	3	1	5	1	0	1	0	23	13	6	3	6	1	8	3	7	2	2	0	0	18	6	5	7	2	3	1	3	6	0	1	2	0	17	2	1	6	3	1	1	0	5	1	0	0	0	36	3	6	10	11	6	5	7	5	1	1	1	2	21	4	2	21	1	4	2	0	0	1	0	1	1	13	1	5	3	0	2	2	1	1	0	0	5	1	13	0	1	3	0	0	2	1	4	0	0	0	17	9	5	1	3	0	4	1	1	3	0	2	0	26	11	4	5	5	2	2	1	0	0	1	1	0	11	5	4	3	17	1	6	0	6	4	3	0	0
SERTAD2	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	1	0	0	0	1	0	0	1	0	5	3	0	1	0	0	0	1	0	0	1	1	0	5	0	1	0	1	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	3	2	1	2	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
AC007386.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC1A4	5	0	2	2	0	0	2	0	1	0	1	0	0	9	0	6	2	0	1	0	1	1	2	0	1	0	4	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	2	0	2	0	0	6	0	1	0	0	4	2	0	2	0	2	0	6	2	2	1	0	0	7	0	1	0	0	0	1	1	4	0	0	0	0	12	0	1	3	0	0	0	0	4	0	0	0	0	13	0	4	2	0	4	0	2	1	4	0	0	0	2	0	1	0	0	2	0	0	3	1	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	0	4	0	0	1	0	1	1	0	0	0	0	19	0	1	0	1	0	0	0	1	1	0	0	0	6	1	1	0	3	1	0	0	1	0	0	0	0
CEP68	3	0	2	1	0	0	0	0	0	0	0	0	0	3	5	6	1	0	1	1	1	2	1	0	0	0	5	1	2	0	0	4	1	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	15	0	0	1	3	2	0	2	1	0	0	0	5	3	4	1	0	0	4	1	1	1	0	0	0	1	2	6	0	0	0	3	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	3	2	3	1	1	0	0	0	1	0	0	0	0	2	1	3	0	1	1	0	0	0	1	0	0	0	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	1	1	1	0	1	0	0	1	0	2	4	5	1	0	0	1	0	0	1	1	1	0	0	11	3	1	2	0	0	0	2	1	0	0	0
RAB1A	87	6	4	21	4	4	6	0	12	1	1	0	0	275	12	23	37	11	11	10	9	19	8	11	2	0	100	4	9	17	8	14	4	2	9	3	3	0	0	24	3	6	8	0	1	4	1	3	1	2	2	100	1	2	14	1	4	2	0	6	1	1	2	0	133	25	13	11	2	8	5	5	23	4	8	0	0	130	28	13	16	7	3	21	7	16	4	6	3	1	68	15	16	9	5	2	10	6	15	4	6	3	0	156	1	5	33	8	17	8	4	14	0	3	5	0	338	3	24	61	12	12	11	7	17	8	4	1	2	95	7	3	13	1	16	9	4	7	3	1	1	0	68	8	11	12	3	3	7	2	3	1	0	2	0	90	2	3	6	1	1	2	1	8	2	0	0	146	19	14	4	5	7	11	5	19	5	1	2	1	171	34	16	21	4	4	11	4	9	0	4	4	1	103	36	9	27	11	4	15	8	16	7	2	6	0
