ko	pathway	product	map
V1000066	K01362	Peptidases and inhibitors	ovochymase	ko01002
V1000067	K00784	Transfer RNA biogenesis	ribonuclease Z	ko03016
V1000068	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000069	K07652	Two-component system	two-component system, OmpR family, sensor histidine kinase VicK	map02020
V1000070	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000071	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000072	K07025	General function prediction only	putative hydrolase of the HAD superfamily	99996
V1000073	K03647	Nucleotide metabolism	protein involved in ribonucleotide reduction	99984
V1000074	K03495	Transfer RNA biogenesis	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	ko03016
V1000075	K03536	Transfer RNA biogenesis	ribonuclease P protein component	ko03016
V1000076	K02914	Ribosome	large subunit ribosomal protein L34	map03010
V1000077	K02338	DNA replication	DNA polymerase III subunit beta	map03030
V1000078	K14761	Ribosome biogenesis	ribosome-associated protein	ko03009
V1000079	K02469	DNA replication	DNA gyrase subunit A	map03030
V1000080	K02990	Ribosome	small subunit ribosomal protein S6	map03010
V1000081	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000082	K02314	DNA replication	replicative DNA helicase	map03030
V1000083	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000085	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000086	K07335	ABC transporters	basic membrane protein A and related proteins	map02010
V1000087	K02057	Transporters	simple sugar transport system permease protein	ko02000
V1000088	K00904	Purine metabolism	deoxyguanosine kinase	map00230
V1000089	K00904	Purine metabolism	deoxyguanosine kinase	map00230
V1000090	K06901	Transporters	adenine/guanine/hypoxanthine permease	ko02000
V1000091	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000092	K03739	Cationic antimicrobial peptide (CAMP) resistance	membrane protein involved in D-alanine export	map01503
V1000093	K03740	Cationic antimicrobial peptide (CAMP) resistance	D-alanine transfer protein	map01503
V1000096	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000097	K03100	Protein export	signal peptidase I	map03060
V1000098	K00599	Transfer RNA biogenesis	tRNA N(3)-methylcytidine methyltransferase METTL6	ko03016
V1000099	K00938	Terpenoid backbone biosynthesis	phosphomevalonate kinase	map00900
V1000100	K00869	Terpenoid biosynthesis	mevalonate kinase	map00900
V1000101	K01144	NotAssigned	NotAssigned	NotAssigned
V1000102	K01144	NotAssigned	NotAssigned	NotAssigned
V1000103	K10773	Base excision repair	endonuclease III	map03410
V1000104	K03700	DNA damage repair	recombination protein U	ko03400
V1000105	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000106	K01938	One carbon pool by folate	formate--tetrahydrofolate ligase	map00670
V1000107	K03101	Protein export	signal peptidase II	map03060
V1000108	K01419	Peptidases and inhibitors	ATP-dependent HslUV protease, peptidase subunit HslV	ko01002
V1000109	K04094	Transfer RNA biogenesis	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase	ko03016
V1000110	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000111	K07030	Enzymes with EC numbers	fatty acid kinase	99980
V1000112	K03530	DNA replication proteins	DNA-binding protein HU-beta	ko03032
V1000113	K03977	Ribosome biogenesis	GTPase	ko03009
V1000114	K06178	Ribosome biogenesis	23S rRNA pseudouridine2605 synthase	ko03009
V1000115	K05896	Chromosome and associated proteins	segregation and condensation protein A	ko03036
V1000116	K00873	Glycolysis / Gluconeogenesis	pyruvate kinase	map00010
V1000117	K00784	Transfer RNA biogenesis	ribonuclease Z	ko03016
V1000118	K00680	Enzymes with EC numbers	uncharacterized N-acetyltransferase	99980
V1000119	K01752	Glycine, serine and threonine metabolism	L-serine dehydratase	map00260
V1000120	K03978	Chromosome and associated proteins	GTP-binding protein	ko03036
V1000121	K03544	Clp-dependent proteolysis	ATP-dependent Clp protease ATP-binding subunit ClpX	map04974
V1000122	K02358	Translation	elongation factor Tu	ko03012
V1000123	K02956	Ribosome	small subunit ribosomal protein S15	map03010
V1000124	K02968	Ribosome	small subunit ribosomal protein S20	map03010
V1000125	K02238	Secretion system	competence protein ComEC	ko02044
V1000126	K07177	Peptidases and inhibitors	Lon-like protease	ko01002
V1000127	K00954	Pantothenate and CoA biosynthesis	pantetheine-phosphate adenylyltransferase	map00770
V1000128	K08316	Ribosome biogenesis	16S rRNA (guanine966-N2)-methyltransferase	ko03009
V1000129	K06207	Signaling proteins	GTP-binding protein	99995
V1000130	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000131	K00287	Folate biosynthesis	dihydrofolate reductase	map00790
V1000132	K07462	Base excision repair	single-stranded-DNA-specific exonuclease	map03410
V1000133	K07284	Peptidoglycan biosynthesis and degradation proteins	sortase A	ko01011
V1000134	K03687	Chaperones and folding catalysts	molecular chaperone GrpE	ko03110
V1000135	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000136	K07742	Function unknown	uncharacterized protein	99997
V1000137	K02600	Transcription machinery	transcription termination/antitermination protein NusA	ko03021
V1000138	K09748	Ribosome biogenesis	ribosome maturation factor RimP	ko03009
V1000139	K03763	DNA replication	DNA polymerase III subunit alpha, Gram-positive type	map03030
V1000140	K01881	Aminoacyl-tRNA biosynthesis	prolyl-tRNA synthetase	map00970
V1000141	K00981	Glycerophospholipid metabolism	phosphatidate cytidylyltransferase	map00564
V1000142	K09903	Pyrimidine metabolism	uridylate kinase	map00240
V1000143	K02357	Translation factors	elongation factor Ts	ko03012
V1000144	K02967	Ribosome	small subunit ribosomal protein S2	map03010
V1000146	K06148	Transporters	ATP-binding cassette, subfamily C, bacterial	ko02000
V1000147	K09976	Function unknown	uncharacterized protein	99997
V1000149	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000150	K00554	Transfer RNA biogenesis	tRNA (guanine37-N1)-methyltransferase	ko03016
V1000151	K02959	Ribosome	small subunit ribosomal protein S16	map03010
V1000152	K03106	Protein export	signal recognition particle subunit SRP54	map03060
V1000153	K09787	Function unknown	uncharacterized protein	99997
V1000154	K03631	DNA damage repair	DNA repair protein RecN (Recombination protein N)	ko03400
V1000155	K13789	Terpenoid backbone biosynthesis	geranylgeranyl diphosphate synthase, type II	map00900
V1000156	K03601	Mismatch repair	exodeoxyribonuclease VII large subunit	map03430
V1000157	K03625	Transcription machinery	transcription antitermination protein NusB	ko03021
V1000158	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000159	K01262	Peptidases and inhibitors	Xaa-Pro aminopeptidase	ko01002
V1000160	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000161	K09686	NotAssigned	NotAssigned	NotAssigned
V1000162	K00796	Folate biosynthesis	dihydropteroate synthase	map00790
V1000163	K01516	Virion - Enterovirus	Enterovirus protein 2C	map03263
V1000164	K01495	Folate biosynthesis	GTP cyclohydrolase IA	map00790
V1000166	K01515	Purine metabolism	ADP-ribose diphosphatase	map00230
V1000167	K03704	Transcription	cold shock protein	99973
V1000168	K01870	Aminoacyl-tRNA biosynthesis	isoleucyl-tRNA synthetase	map00970
V1000169	K03529	Chromosome and associated proteins	chromosome segregation protein	ko03036
V1000170	K03685	Messenger RNA biogenesis	ribonuclease III	ko03019
V1000171	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1000172	K02034	Quorum sensing	peptide/nickel transport system permease protein	map02024
V1000173	K03655	DNA repair and recombination proteins	ATP-dependent DNA helicase RecG	ko03400
V1000174	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000175	K02902	Ribosome	large subunit ribosomal protein L28	map03010
V1000176	K10040	ABC transporters	aspartate/glutamate/glutamine transport system permease protein	map02010
V1000177	K10039	ABC transporters	aspartate/glutamate/glutamine transport system substrate-binding protein	map02010
V1000178	K01179	Starch and sucrose metabolism	endoglucanase	map00500
V1000179	K08161	Multidrug resistance - efflux pump	MFS transporter, DHA1 family, multidrug resistance protein	ko02000
V1000180	K02824	Transporters	uracil permease	ko02000
V1000181	K01990	Transporters	ABC-2 type transport system ATP-binding protein	ko02000
V1000182	K05833	Transporters	putative tryptophan/tyrosine transport system ATP-binding protein	ko02000
V1000183	K01989	Transporters	putative tryptophan/tyrosine transport system substrate-binding protein	ko02000
V1000184	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000185	K01215	Enzymes with EC numbers	glucan 1,6-alpha-glucosidase	99980
V1000187	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000196	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000198	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000199	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000200	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000201	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000203	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000205	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000206	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000213	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000215	K14540	Ribosome biogenesis	ribosome biogenesis GTPase A	ko03009
V1000221	K05910	Enzymes with EC numbers	NADH peroxidase	99980
V1000226	K03700	DNA damage repair	recombination protein U	ko03400
V1000229	K01893	Aminoacyl-tRNA biosynthesis	asparaginyl-tRNA synthetase	map00970
V1000246	K03086	Transcription machinery	RNA polymerase primary sigma factor	ko03021
V1000247	K02316	DNA replication	DNA primase	map03030
V1000248	K01879	Aminoacyl-tRNA biosynthesis	glycyl-tRNA synthetase beta chain	map00970
V1000249	K01878	Aminoacyl-tRNA biosynthesis	glycyl-tRNA synthetase alpha chain	map00970
V1000253	K06217	Signaling proteins	phosphate starvation-inducible protein PhoH and related proteins	99995
V1000261	K01876	Aminoacyl-tRNA biosynthesis	aspartyl-tRNA synthetase	map00970
V1000274	K03319	Transport	divalent anion:Na+ symporter, DASS family	99977
V1000275	K03319	Transport	divalent anion:Na+ symporter, DASS family	99977
V1000276	K00244	Citrate cycle (TCA cycle)	succinate dehydrogenase flavoprotein subunit	map00020
V1000292	K01535	Oxidative phosphorylation	H+-transporting ATPase	map00190
V1000293	K06967	Transfer RNA biogenesis	tRNA (adenine22-N1)-methyltransferase	ko03016
V1000294	K02316	DNA replication	DNA primase	map03030
V1000295	K01879	Aminoacyl-tRNA biosynthesis	glycyl-tRNA synthetase beta chain	map00970
V1000296	K03584	Homologous recombination	DNA repair protein RecO (recombination protein O)	map03440
V1000297	K07042	Ribosome biogenesis	probable rRNA maturation factor	ko03009
V1000298	K09117	Function unknown	uncharacterized protein	99997
V1000299	K09773	Enzymes with EC numbers	[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase	99980
V1000300	K01876	Aminoacyl-tRNA biosynthesis	aspartyl-tRNA synthetase	map00970
V1000301	K00951	Purine metabolism	GTP pyrophosphokinase	map00230
V1000302	K02072	ABC transporters	D-methionine transport system permease protein	map02010
V1000303	K02071	ABC transporters	D-methionine transport system ATP-binding protein	map02010
V1000304	K01200	Starch and sucrose metabolism	pullulanase	map00500
V1000305	K01689	Glycolysis / Gluconeogenesis	enolase 1/2/3	map00010
V1000306	K05846	ABC transporters	osmoprotectant transport system permease protein	map02010
V1000307	K01915	Alanine aspartate and glutamate metabolism	glutamine synthetase	map00250
V1000308	K00791	Transfer RNA biogenesis	tRNA dimethylallyltransferase	ko03016
V1000309	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000310	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000311	K01362	Peptidases and inhibitors	ovochymase	ko01002
V1000312	K02913	Ribosome	large subunit ribosomal protein L33	map03010
V1000313	K01281	Peptidases and inhibitors	X-Pro dipeptidyl-peptidase	ko01002
V1000314	K03092	Flagellar assembly	RNA polymerase sigma-54 factor	map02040
V1000315	K02795	Phosphotransferase system (PTS)	mannose PTS system EIIC component	map02060
V1000316	K00687	Peptidoglycan biosynthesis	penicillin-binding protein 2B	map00550
V1000317	K03624	Transcription machinery	transcription elongation factor GreA	ko03021
V1000318	K01890	Aminoacyl-tRNA biosynthesis	phenylalanyl-tRNA synthetase beta chain	map00970
V1000319	K03437	Transfer RNA biogenesis	RNA methyltransferase, TrmH family	ko03016
V1000320	K03217	Protein export	YidC/Oxa1 family membrane protein insertase	map03060
V1000321	K09710	Ribosome biogenesis	ribosome-associated protein	ko03009
V1000322	K06948	Ribosome biogenesis	30S ribosome assembly GTPase	ko03009
V1000323	K00882	Fructose and mannose metabolism	1-phosphofructokinase	map00051
V1000324	K02887	Ribosome	large subunit ribosomal protein L20	map03010
V1000325	K02916	Ribosome	large subunit ribosomal protein L35	map03010
V1000326	K01868	Aminoacyl-tRNA biosynthesis	threonyl-tRNA synthetase	map00970
V1000327	K03346	DNA replication proteins	replication initiation and membrane attachment protein	ko03032
V1000328	K00859	Pantothenate and CoA biosynthesis	dephospho-CoA kinase	map00770
V1000329	K02837	Translation factors	peptide chain release factor 3	ko03012
V1000330	K03565	DNA repair and recombination proteins	regulatory protein	ko03400
V1000331	K07058	General function prediction only	membrane protein	99996
V1000332	K03699	Bacterial toxins	magnesium and cobalt exporter, CNNM family	ko02042
V1000337	K01531	Enzymes with EC numbers	P-type Mg2+ transporter	99980
V1000342	K04042	Amino sugar and nucleotide sugar metabolism	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase	map00520
V1000343	K03300	Transport	citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family	99977
V1000347	K01951	Purine metabolism	GMP synthase (glutamine-hydrolysing)	map00230
V1000358	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000359	K02909	Ribosome	large subunit ribosomal protein L31	map03010
V1000360	K01929	Peptidoglycan biosynthesis	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	map00550
V1000361	K00997	Pantothenate and CoA biosynthesis	holo-[acyl-carrier protein] synthase	map00770
V1000362	K01775	Alanine aspartate and glutamate metabolism	alanine racemase	map00250
V1000364	K03723	Nucleotide excision repair	transcription-repair coupling factor (superfamily II helicase)	map03420
V1000373	K03043	RNA polymerase	DNA-directed RNA polymerase subunit beta	map03020
V1000375	K02992	Ribosome	small subunit ribosomal protein S7	map03010
V1000376	K02355	Translation factors	elongation factor G	ko03012
V1000378	K02906	Ribosome	large subunit ribosomal protein L3	map03010
V1000379	K02892	Ribosome	large subunit ribosomal protein L23	map03010
V1000380	K02965	Ribosome	small subunit ribosomal protein S19	map03010
V1000381	K02890	Ribosome	large subunit ribosomal protein L22	map03010
V1000382	K02982	Ribosome	small subunit ribosomal protein S3	map03010
V1000383	K02878	Ribosome	large subunit ribosomal protein L16	map03010
V1000384	K02961	Ribosome	small subunit ribosomal protein S17	map03010
V1000385	K02895	Ribosome	large subunit ribosomal protein L24	map03010
V1000386	K02931	Ribosome	large subunit ribosomal protein L5	map03010
V1000387	K02933	Ribosome	large subunit ribosomal protein L6	map03010
V1000388	K02988	Ribosome	small subunit ribosomal protein S5	map03010
V1000389	K02907	Ribosome	large subunit ribosomal protein L30	map03010
V1000390	K03076	Bacterial secretion system	preprotein translocase subunit SecY	map03070
V1000391	K00939	Purine metabolism	adenylate kinase	map00230
V1000392	K02518	Translation factors	translation initiation factor IF-1	ko03012
V1000393	K02879	Ribosome	large subunit ribosomal protein L17	map03010
V1000394	K02006	ABC transporters	cobalt/nickel transport system ATP-binding protein	map02010
V1000398	K03495	Transfer RNA biogenesis	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	ko03016
V1000399	K03650	Transfer RNA biogenesis	tRNA modification GTPase	ko03016
V1000400	K03217	Protein export	YidC/Oxa1 family membrane protein insertase	map03060
V1000401	K03536	Transfer RNA biogenesis	ribonuclease P protein component	ko03016
V1000402	K02338	DNA replication	DNA polymerase III subunit beta	map03030
V1000403	K03629	DNA repair and recombination proteins	DNA replication and repair protein RecF	ko03400
V1000404	K02470	DNA replication	DNA gyrase subunit B	map03030
V1000405	K02469	DNA replication	DNA gyrase subunit A	map03030
V1000406	K02990	Ribosome	small subunit ribosomal protein S6	map03010
V1000407	K03111	DNA replication	single-strand DNA-binding protein	map03030
V1000408	K02963	Ribosome	small subunit ribosomal protein S18	map03010
V1000409	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000411	K02314	DNA replication	replicative DNA helicase	map03030
V1000425	K02440	Transporters	glycerol uptake facilitator	ko02000
V1000427	K14652	Riboflavin metabolism	3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II	map00740
V1000431	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000433	K07668	Two-component system	two-component system, OmpR family, response regulator VicR	map02020
V1000434	K07652	Two-component system	two-component system, OmpR family, sensor histidine kinase VicK	map02020
V1000438	K00783	Ribosome biogenesis	23S rRNA (pseudouridine1915-N3)-methyltransferase	ko03009
V1000449	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000450	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000454	K01779	Alanine, aspartate and glutamate metabolism	aspartate racemase	map00250
V1000455	K07670	Two-component system	two-component system, OmpR family, response regulator MtrA	map02020
V1000456	K01409	Transfer RNA biogenesis	N6-L-threonylcarbamoyladenine synthase	ko03016
V1000457	K01409	Transfer RNA biogenesis	N6-L-threonylcarbamoyladenine synthase	ko03016
V1000458	K01071	Fatty acid biosynthesis	medium-chain acyl-[acyl-carrier-protein] hydrolase	map00061
V1000459	K07056	Ribosome biogenesis	16S rRNA (cytidine1402-2'-O)-methyltransferase	ko03009
V1000460	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000461	K00943	Pyrimidine metabolism	dTMP kinase	map00240
V1000462	K01485	Pyrimidine metabolism	cytosine/creatinine deaminase	map00240
V1000463	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000464	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000465	K01819	Galactose metabolism	galactose-6-phosphate isomerase	map00052
V1000466	K01819	Galactose metabolism	galactose-6-phosphate isomerase	map00052
V1000467	K01220	Galactose metabolism	6-phospho-beta-galactosidase	map00052
V1000468	K02788	Phosphotransferase system (PTS)	lactose PTS system EIICB component	map02060
V1000469	K02786	Phosphotransferase system (PTS)	lactose PTS system EIIA component	map02060
V1000470	K01182	Starch and sucrose metabolism	oligo-1,6-glucosidase	map00500
V1000474	K03427	Prokaryotic defense system	type I restriction enzyme M protein	ko02048
V1000475	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000476	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000477	K01992	Transporters	ABC-2 type transport system permease protein	ko02000
V1000478	K09687	NotAssigned	NotAssigned	NotAssigned
V1000479	K06878	General function prediction only	tRNA-binding protein	99996
V1000480	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000481	K01992	Transporters	ABC-2 type transport system permease protein	ko02000
V1000482	K01990	Transporters	ABC-2 type transport system ATP-binding protein	ko02000
V1000483	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000484	K03698	Messenger RNA biogenesis	3'-5' exoribonuclease	ko03019
V1000485	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000486	K12555	Peptidoglycan biosynthesis	penicillin-binding protein 2A	map00550
V1000487	K01624	Glycolysis / Gluconeogenesis	fructose-bisphosphate aldolase, class II	map00010
V1000488	K01887	Aminoacyl-tRNA biosynthesis	arginyl-tRNA synthetase	map00970
V1000490	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000492	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000498	K06890	Function unknown	uncharacterized protein	99997
V1000499	K02433	Aminoacyl-tRNA biosynthesis	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	map00970
V1000500	K01972	DNA replication	DNA ligase (NAD+)	map03030
V1000501	K01185	Enzymes with EC numbers	lysozyme	99980
V1000502	K00088	Purine metabolism	IMP dehydrogenase	map00230
V1000503	K01537	Enzymes with EC numbers	P-type Ca2+ transporter type 2C	99980
V1000504	K00763	Nicotinate and nicotinamide metabolism	nicotinate phosphoribosyltransferase	map00760
V1000505	K00754	Enzymes with EC numbers	L-malate glycosyltransferase	99980
V1000506	K00754	Enzymes with EC numbers	L-malate glycosyltransferase	99980
V1000507	K05946	Teichoic acid biosynthesis	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase	map00552
V1000508	K01005	Teichoic acid biosynthesis	polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase	map00552
V1000509	K00980	Glycerophospholipid metabolism	glycerol-3-phosphate cytidylyltransferase	map00564
V1000510	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000511	K03311	Transport	branched-chain amino acid:cation transporter, LIVCS family	99977
V1000512	K02036	ABC transporters	phosphate transport system ATP-binding protein	map02010
V1000513	K02036	ABC transporters	phosphate transport system ATP-binding protein	map02010
V1000514	K02037	ABC transporters	phosphate transport system permease protein	map02010
V1000515	K07657	Two-component system	two-component system, OmpR family, phosphate regulon response regulator PhoB	map02020
V1000516	K02003	Transporters	putative ABC transport system ATP-binding protein	ko02000
V1000517	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1000518	K03481	Transcription factors	RpiR family transcriptional regulator, glv operon transcriptional regulator	ko03000
V1000519	K02750	Phosphotransferase system (PTS)	alpha-glucoside PTS system EIICB component	map02060
V1000520	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000521	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000522	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000523	K01467	beta-Lactam resistance	beta-lactamase class C	map01501
V1000524	K15051	Nucleotide metabolism	DNA-entry nuclease	99984
V1000525	K00867	Pantothenate and CoA biosynthesis	type I pantothenate kinase	map00770
V1000526	K03657	Nucleotide excision repair	ATP-dependent DNA helicase UvrD/PcrA	map03420
V1000527	K02355	Translation factors	elongation factor G	ko03012
V1000528	K02992	Ribosome	small subunit ribosomal protein S7	map03010
V1000529	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000530	K00942	Purine metabolism	guanylate kinase	map00230
V1000533	K01937	Pyrimidine metabolism	CTP synthase	map00240
V1000534	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1000535	K01463	Enzymes with EC numbers	N-acetylglucosamine malate deacetylase 1	99980
V1000536	K03497	Transcription factors	ParB family transcriptional regulator, chromosome partitioning protein	ko03000
V1000537	K03496	Chromosome and associated proteins	chromosome partitioning protein	ko03036
V1000538	K03497	Transcription factors	ParB family transcriptional regulator, chromosome partitioning protein	ko03000
V1000539	K03501	Ribosome biogenesis	16S rRNA (guanine527-N7)-methyltransferase	ko03009
V1000540	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000541	K01104	Enzymes with EC numbers	protein-tyrosine phosphatase	99980
V1000542	K00540	Enzymes with EC numbers	F420H(2)-dependent quinone reductase	99980
V1000544	K00244	Citrate cycle (TCA cycle)	succinate dehydrogenase flavoprotein subunit	map00020
V1000545	K10109	ABC transporters	maltose/maltodextrin transport system permease protein	map02010
V1000546	K10108	ABC transporters	maltose/maltodextrin transport system substrate-binding protein	map02010
V1000547	K10112	ABC transporters	multiple sugar transport system ATP-binding protein	map02010
V1000548	K01838	Starch and sucrose metabolism	beta-phosphoglucomutase	map00500
V1000549	K00691	Starch and sucrose metabolism	maltose phosphorylase	map00500
